2026-07-15 09:46:30.728 +05:30 [INF] HealthAxis Heartbeat Background Service started.+++++++++++++
2026-07-15 09:46:30.820 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:46:30.8197204+05:30"------------
2026-07-15 09:46:31.015 +05:30 [INF] Now listening on: http://localhost:5066
2026-07-15 09:46:31.123 +05:30 [INF] Application started. Press Ctrl+C to shut down.
2026-07-15 09:46:31.131 +05:30 [INF] Hosting environment: Development
2026-07-15 09:46:31.137 +05:30 [INF] Content root path: C:\Users\310208\source\repos\Sprint 4\UST-Live-01\HealthApp.Api
2026-07-15 09:46:31.543 +05:30 [INF] Bus started: "rabbitmq://localhost/"
2026-07-15 09:46:40.878 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:46:40.8786507+05:30"------------
2026-07-15 09:46:50.969 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:46:50.9698291+05:30"------------
2026-07-15 09:47:00.973 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:47:00.9735009+05:30"------------
2026-07-15 09:47:10.991 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:47:10.9911534+05:30"------------
2026-07-15 09:47:21.002 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:47:21.0024003+05:30"------------
2026-07-15 09:47:31.011 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:47:31.0110098+05:30"------------
2026-07-15 09:47:41.028 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:47:41.0288206+05:30"------------
2026-07-15 09:47:51.046 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:47:51.0464179+05:30"------------
2026-07-15 09:48:01.067 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:48:01.0677418+05:30"------------
2026-07-15 09:48:11.077 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:48:11.0764207+05:30"------------
2026-07-15 09:48:21.089 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:48:21.0898462+05:30"------------
2026-07-15 09:48:31.108 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:48:31.1088175+05:30"------------
2026-07-15 09:48:41.126 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:48:41.1258450+05:30"------------
2026-07-15 09:48:51.137 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:48:51.1377081+05:30"------------
2026-07-15 09:49:01.200 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:49:01.2009182+05:30"------------
2026-07-15 09:49:11.267 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:49:11.2334963+05:30"------------
2026-07-15 09:49:21.279 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:49:21.2784487+05:30"------------
2026-07-15 09:49:31.292 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:49:31.2924698+05:30"------------
2026-07-15 09:49:41.303 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:49:41.3031689+05:30"------------
2026-07-15 09:49:51.310 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:49:51.3100142+05:30"------------
2026-07-15 09:50:01.331 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:50:01.3319352+05:30"------------
2026-07-15 09:50:11.346 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:50:11.3456130+05:30"------------
2026-07-15 09:50:21.365 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:50:21.3652953+05:30"------------
2026-07-15 09:50:31.384 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:50:31.3843180+05:30"------------
2026-07-15 09:50:41.400 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:50:41.4004025+05:30"------------
2026-07-15 09:50:51.412 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:50:51.4129517+05:30"------------
2026-07-15 09:51:01.424 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:51:01.4247971+05:30"------------
2026-07-15 09:51:11.440 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:51:11.4402460+05:30"------------
2026-07-15 09:51:21.449 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:51:21.4494971+05:30"------------
2026-07-15 09:51:31.468 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:51:31.4686122+05:30"------------
2026-07-15 09:51:41.483 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:51:41.4832938+05:30"------------
2026-07-15 09:51:51.502 +05:30 [INF] HealthAxis heartbeat running at "2026-07-15T09:51:51.5014261+05:30"------------
